No.,Time,Protocol,Info,Source IP and port,Dest IP and port,Length,Payload in Bytes
59,2.755619,TLSv1(TCP),Application Data,192.168.1.135:37203,192.168.1.3:3389,119,1703010030047432e3f9bd217fb5731a6fe767534e2073df3c353a16d98082a5d04187b27f95697fc702ed1ff34c972385d044be30
57,2.754504,TLSv1(TCP),Application Data,192.168.1.135:37203,192.168.1.3:3389,119,1703010030e48220742f2d746050ac1e8e73ba55161fc11cf5a8c5eea7e81408a0e2eb14faee8065f577caec950e9e7ad02b26bc80
54,2.752714,TLSv1(TCP),Application Data,192.168.1.135:37203,192.168.1.3:3389,103,17030100200368cba2484c89f624b23735479b191ddc611b0728965ec4bdeae5c0bc3826fc
53,2.752297,TLSv1(TCP),Application Data,192.168.1.135:37203,192.168.1.3:3389,119,17030100307206abc30d00e0e95795d31affe26faf2ee81faf8362a83848e5e01a9ae92f03ea004775d93ae2664eaf7d9935887491
52,2.751309,TCP(TCP),37203 \xe2\x86\x92 3389 [ACK] Seq=1358 Ack=1058 Win=64128 Len=0 TSval=3980782813 TSecr=1226335,192.168.1.135:37203,192.168.1.3:3389,66,
50,2.749027,TLSv1(TCP),Application Data,192.168.1.135:37203,192.168.1.3:3389,535,17030101d049db53410815cc6c19beb830b8b8d30aaee2f871652090e1c2c8f5057caa3f9bfdee438e24845da0f2ec805b206f0bbe331023f5029074954a7e9c5a588d4e4d8845146fcefb0f60a84826bdb43fcda5c2861defcb9cc8500460306329d5a872f1cd57a81d0337693c5a82a20411ebebdf9a29915a87527e3cc8c825e03b6d37db34e24bf6f6015632b26102409262714e4ee79c18e2a98b723b50a5fa4d660e48720225184cea0b9cb1a173c65ef5102eaba2ce7f2b7832a27a012058ceacb43852ced63e4961006b102ab187b3df79451a2aab05760260bf9e2940014dcab53e85043926737cf9b0e25d4311f7641fc98bacdce703dc05b5278877bad8f6f4a3f6203d2585fceb7f8f62f9749b3f94ef7e2c6a772608d54b658fc84bc6fb0c19bec77b0d5525277d431187828af7cce085f3ff2bebf2b214e6925767c5942174ad7c0f60569e4d5076f271c1a2b50f5bd50068bfcb372d76822514ccb894378886befca8fe2e62a165e5316d5c103bc90b18647395b7e8eb0d1a756771f4f529d27c3ab4ba049c073eabb5e12f9fa53d06e2fd04a4010264df417c08812452d7d040d27a51f9498ca155056a0627f91f18c0ed81626a37beb0cac13ccd772d6d816dbc202cfa47bb12e429581f330a
49,2.746615,TCP(TCP),37203 \xe2\x86\x92 3389 [ACK] Seq=889 Ack=909 Win=64128 Len=0 TSval=3980782809 TSecr=1226334,192.168.1.135:37203,192.168.1.3:3389,66,
47,2.731631,TLSv1(TCP),Client Key Exchange  Change Cipher Spec  Encrypted Handshake Message,192.168.1.135:37203,192.168.1.3:3389,392,16030101061000010201000ad52076fffb6ca8422b871cfb336f12c4245be19b31f9c30b44852958a373f887bcc25f08c8670e866f49cee820c286ef789e87df91f7b2e2a15c0d5463a3beef4167ee746cbba8733d82a13e9298e6055befa7cd48c9c771041c30caa2536501f94a4259e2127357b1fe1f879d1acf4c0650f7e824c5cbdf58c3434b2b03e19befef2c26c3efbe2dc529dbe6a164a96913982c406613fa311771532d3c02878db2f36d73504b2dbb58b5ac4091ea9a8a6b6cad3338ad84d75393d50bd4dab82cf5fbb96051b99e8cde85e714161ed02723a17007c4bae40d7ffe16b409d184d8cdf94d614550332e11e34fbf7be08929910f977e7111625f75497f0fb631ad140301000101160301003081d0d9a62038822d3fa6938b76734d726cd6f6aa7c2db031f1b27e4880708b8d6fc1fab267caf7563b9f6ddf8a6517c3
46,2.7302,TCP(TCP),37203 \xe2\x86\x92 3389 [ACK] Seq=563 Ack=850 Win=64128 Len=0 TSval=3980782792 TSecr=1226334,192.168.1.135:37203,192.168.1.3:3389,66,
44,2.729025,TLSv1(TCP),Client Hello,192.168.1.135:37203,192.168.1.3:3389,583,1603010200010001fc0303bb5dd68970c2cc2da5c6b61275911a7f99ed6a34fb67f1df0dd02ab725fa882e204a03a8af3439550846fe0ab3d294c644c2a12a7c8b7e9edef0383cbf6679f9fe003e130213031301c02cc030009fcca9cca8ccaac02bc02f009ec024c028006bc023c0270067c00ac0140039c009c0130033009d009c003d003c0035002f00ff01000175000b000403000102000a000c000a001d0017001e00190018002300000016000000170000000d0030002e040305030603080708080809080a080b080408050806040105010601030302030301020103020202040205020602002b0009080304030303020301002d00020101003300260024001d002060366c9502a6919bab3faf1338ef75d23db4ff567fad3f2e3fb745f1bb50bb09001500dc00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
43,2.725926,TCP(TCP),37203 \xe2\x86\x92 3389 [ACK] Seq=46 Ack=20 Win=64256 Len=0 TSval=3980782788 TSecr=1226333,192.168.1.135:37203,192.168.1.3:3389,66,
40,2.718032,TCP(TCP),37203 \xe2\x86\x92 3389 [PSH  ACK] Seq=1 Ack=1 Win=64256 Len=45 TSval=3980782780 TSecr=1226332,192.168.1.135:37203,192.168.1.3:3389,111,0300002d28e00000000000436f6f6b69653a206d737473686173683d69796c5569474c0d0a0100080001000000
39,2.716385,TCP(TCP),37203 \xe2\x86\x92 3389 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3980782779 TSecr=1226332,192.168.1.135:37203,192.168.1.3:3389,66,
37,2.715668,TCP(TCP),37203 \xe2\x86\x92 3389 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3980782778 TSecr=0 WS=128,192.168.1.135:37203,192.168.1.3:3389,74,
